  Time Use   jobID
  459:31:2   1700872.node96      
  369:47:0   1700875.node96      
  331:33:1   1701249.node96      
  08:39:45   1701252.node96      
         0   1701253.node96      
         0   1701254.node96      
         0   1701255.node96      
         0   1701256.node96      
         0   1701257.node96      
         0   1701258.node96      
         0   1701259.node96      
         0   1701260.node96      
         0   1701261.node96      
         0   1701262.node96      
         0   1701263.node96      
         0   1701264.node96      
         0   1701265.node96      
         0   1701266.node96      
         0   1701267.node96      
         0   1701268.node96      
         0   1701269.node96      
         0   1701270.node96      
         0   1701271.node96      
         0   1701272.node96      
  3573:56:   1705946.node96      
  266:02:1   1710335.node96      
  2931:24:   1711438.node96      
  2839:48:   1712380.node96      
  826:40:5   1715412.node96      
  543:52:4   1715420.node96      
  521:24:4   1715421.node96      
  486:33:5   1715422.node96      
  434:09:3   1715423.node96      
  399:31:4   1715424.node96      
  357:50:3   1715425.node96      
  2667:55:   1715462.node96      
  5277:44:   1715832.node96      
  5266:44:   1715835.node96      
         0   1716029.node96      
         0   1716037.node96      
         0   1716038.node96      
         0   1716046.node96      
         0   1716047.node96      
         0   1716055.node96      
         0   1716056.node96      
         0   1716064.node96      
         0   1716065.node96      
         0   1716073.node96      
         0   1716074.node96      
         0   1716082.node96      
         0   1716083.node96      
         0   1716091.node96      
         0   1716092.node96      
         0   1716100.node96      
         0   1716101.node96      
         0   1716109.node96      
         0   1716110.node96      
         0   1716118.node96      
         0   1716119.node96      
  229:50:3   1716122.node96      
  114:51:4   1716123.node96      
         0   1716127.node96      
         0   1716128.node96      
  47:12:36   1716130.node96      
  140:24:2   1716131.node96      
  87:52:45   1716132.node96      
         0   1716136.node96      
         0   1716137.node96      
  42:58:41   1716138.node96      
  14:04:21   1716139.node96      
  10:48:39   1716140.node96      
  01:22:17   1716141.node96      
  01:20:30   1716142.node96      
  01:22:24   1716143.node96      
  01:19:48   1716144.node96      
         0   1716145.node96      
         0   1716146.node96      
         0   1716147.node96      
         0   1716148.node96      
         0   1716149.node96      
         0   1716150.node96      
         0   1716151.node96      
         0   1716152.node96      
         0   1716153.node96      
         0   1716154.node96      
         0   1716155.node96      
         0   1716156.node96      
         0   1716157.node96      
         0   1716158.node96      
         0   1716159.node96      
         0   1716160.node96      
         0   1716161.node96      
         0   1716162.node96      
         0   1716163.node96      
         0   1716164.node96      
  1632:12:   1716177.node96      
  1304:49:   1716588.node96      
